Data;Codi Estació;Codi massa d'aigua;Massa d'aigua;UTM X;UTM Y;Variable;Profunditat mostra (m);Valor;Unitat Mesura
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;TOC;-;5.3;mg/L
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Temperatura de l'aigua (camp);-;15;ºC
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;pH;-;7.9;u.pH
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;pH (camp);-;7.7;u.pH
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;% Saturació d'oxigen (camp);-;65.5;%
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Amoni;-;4.24;mg NH4/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Bicarbonats;-;306.5;mg HCO3/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Calci;-;117;mg/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Clorurs;-;354.6;mg/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Conductivitat (camp);-;1690;µS/cm
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Conductivitat a 20ºC;-;1732;µS/cm
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Duresa total;-;457.3;mg CaCO3/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Error relatiu balanç iònic;-;0.29;%
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Fosfats;-;0.8696818;mg PO4/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Magnesi;-;40.1;mg/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Nitrats;-;10.3;mg NO3/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Nitrits;-;0.63;mg NO2/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Oxigen dissolt (camp);-;7;mg/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Potassi;-;58.25;mg/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Sodi;-;199;mg/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Sulfats;-;212;mg/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Suma d'anions;-;19.6306;meq/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Suma de cations;-;19.5176;meq/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;TOC;-;5.8;mg/L
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;Temperatura de l'aigua (camp);-;18;ºC
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;pH;-;7.8;u.pH
2007/04/16;100095000;1000950;El Llobregat des de Sant Joan Despí fins al mar;425686;4575451;pH (camp);-;7.8;u.pH
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;% Saturació d'oxigen (camp);-;79.1;%
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Amoni;-;1.79;mg NH4/L
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Bicarbonats;-;467.7;mg HCO3/L
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Calci;-;147.8;mg/L
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Clorurs;-;287.4;mg/L
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Conductivitat (camp);-;1450;µS/cm
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Conductivitat a 20ºC;-;1672;µS/cm
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Duresa total;-;572.5;mg CaCO3/L
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Error relatiu balanç iònic;-;1.33;%
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Fosfats;-;1.04361816;mg PO4/L
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Magnesi;-;49.4;mg/L
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Nitrats;-;9.7;mg NO3/L
2007/05/29;100094000;1000940;Riera de Torrelles;415060;4578865;Nitrits;-;2.21;mg NO2/L
