Data;Codi Estació;Codi massa d'aigua;Massa d'aigua;UTM X;UTM Y;Variable;Profunditat mostra (m);Valor;Unitat Mesura
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Suma d'anions;-;6.9762;meq/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Suma de cations;-;6.8124;meq/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;TOC;-;4.3;mg/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Temperatura de l'aigua (camp);-;16;ºC
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;pH;-;7.8;u.pH
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;pH (camp);-;8.8;u.pH
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;% Saturació d'oxigen (camp);-;50;%
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;Amoni;-;0.46;mg NH4/L
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;Bicarbonats;-;359.8;mg HCO3/L
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;Clorurs;-;52;mg/L
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;Conductivitat (camp);-;834;µS/cm
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;Conductivitat a 20ºC;-;710;µS/cm
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;Duresa total;-;350.2;mg CaCO3/L
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;Error relatiu balanç iònic;-;0.84;%
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;Nitrats;-;10.1;mg NO3/L
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;Oxigen dissolt (camp);-;4.5;mg/L
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;Potassi;-;4.74;mg/L
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;Sulfats;-;39;mg/L
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;Suma d'anions;-;8.3337;meq/L
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;TOC;-;3.9;mg/L
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;Temperatura de l'aigua (camp);-;19;ºC
2007/05/14;200043000;2000430;Riera de la Farga;490113;4655692;pH;-;7.8;u.pH
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;% Saturació d'oxigen (camp);-;65;%
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Amoni;-;0.46;mg NH4/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Bicarbonats;-;304;mg HCO3/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Calci;-;106.6;mg/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Clorurs;-;32.6;mg/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Conductivitat (camp);-;718;µS/cm
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Conductivitat a 20ºC;-;615;µS/cm
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Duresa total;-;311.1;mg CaCO3/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Error relatiu balanç iònic;-;0.01;%
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Fosfats;-;<0.0668986;mg PO4/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Magnesi;-;10.9;mg/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Nitrats;-;20.5;mg NO3/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Nitrits;-;<0.05;mg NO2/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Oxigen dissolt (camp);-;6.2;mg/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Potassi;-;4.66;mg/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Sodi;-;16.39;mg/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Sulfats;-;40;mg/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Suma d'anions;-;7.073;meq/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Suma de cations;-;7.0716;meq/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;TOC;-;4.3;mg/L
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;Temperatura de l'aigua (camp);-;17;ºC
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;pH;-;7.6;u.pH
2007/05/14;200043500;2000435;Riera de Sant Martí;494419;4652350;pH (camp);-;8.3;u.pH
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;% Saturació d'oxigen (camp);-;55;%
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Amoni;-;0.29;mg NH4/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Bicarbonats;-;426.9;mg HCO3/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Calci;-;159.3;mg/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Clorurs;-;59.7;mg/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Conductivitat (camp);-;1075;µS/cm
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Conductivitat a 20ºC;-;924;µS/cm
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Duresa total;-;448;mg CaCO3/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Error relatiu balanç iònic;-;1.22;%
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Fosfats;-;0.29435384;mg PO4/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Magnesi;-;12.2;mg/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Nitrats;-;31.6;mg NO3/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Nitrits;-;1.32;mg NO2/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Oxigen dissolt (camp);-;5;mg/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Potassi;-;4.74;mg/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Sodi;-;33.07;mg/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Sulfats;-;76;mg/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Suma d'anions;-;10.7852;meq/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Suma de cations;-;10.5261;meq/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;TOC;-;2;mg/L
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;Temperatura de l'aigua (camp);-;19;ºC
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;pH;-;7.5;u.pH
2007/05/22;200044000;2000440;Riera de Cinyana;496519;4656557;pH (camp);-;8;u.pH
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;% Saturació d'oxigen (camp);-;67;%
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Amoni;-;<0.08;mg NH4/L
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Amoníac no ionitzat;-;<0.025;mg NH3/L
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Bicarbonats;-;238.6;mg HCO3/L
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Calci;-;93.3;mg/L
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Clor residual total;-;<0.005;mg HClO/L
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Clorurs;-;66.4;mg/L
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Conductivitat (camp);-;849;µS/cm
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Conductivitat a 20ºC;-;736;µS/cm
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Duresa total;-;285.7;mg CaCO3/L
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Error relatiu balanç iònic;-;1.22;%
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Fosfats;-;0.72250488;mg PO4/L
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Magnesi;-;12.8;mg/L
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Nitrats;-;7.8;mg NO3/L
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Nitrits;-;0.51;mg NO2/L
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Oxigen dissolt (camp);-;5.5;mg/L
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Potassi;-;8.67;mg/L
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Sodi;-;47.62;mg/L
2007/05/22;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Sulfats;-;109;mg/L
